;Batch;Epoch;n_nodos;n_input;n_output;RMSE;Time
1;32;1000;100;3;6;56.45708348;26.19
2;32;1000;100;6;6;42.61704754;34.76
3;32;1000;100;12;6;24.39052623;25.85
4;32;1000;100;18;6;25.62780213;42.43
5;32;1000;100;24;6;33.78264872;28.48
6;32;1000;100;48;6;30.20523615;27.65
7;4;1000;100;18;6;18.88392708;93.01
8;8;1000;100;18;6;22.97248796;92.67
9;16;1000;100;18;6;23.80654632;60.84
10;32;1000;100;18;6;28.59532405;39.66
11;64;1000;100;18;6;22.1834149;30.51
12;128;1000;100;18;6;24.2913713;26.76
13;64;200;100;18;6;21.38592011;4.44
14;64;400;100;18;6;30.52392374;8.5
15;64;600;100;18;6;23.57256036;12.15
16;64;800;100;18;6;32.11720635;16.37
17;64;1000;100;18;6;23.49442704;26.31
18;64;1200;100;18;6;22.89182969;29.57
19;64;1400;100;18;6;23.62453936;39.9
20;64;1600;200;18;6;28.42324317;51.77
21;64;1800;300;18;6;46.047369;61.11
22;64;2000;400;18;6;32.06119425;41.73
23;64;1000;100;18;6;30.88202915;29.15
24;64;1000;200;18;6;31.75455319;20.8
25;64;1000;300;18;6;30.03293812;31.9
26;64;1000;400;18;6;23.43239402;30.36
27;64;1000;500;18;6;49.27571247;24.31
28;64;1000;600;18;6;29.73994445;24.97
;;;;;;;
